,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc
0,0.59058409712302,20120.0,3402.0,166698.0,8230.0,0.9413866400718689,0.8553694486618042,0.7097001671791077,0.9713106751441956,0.9684885948423355,1207.0,496.0,11522.0,796.0,0.9078525304794312,0.7087492942810059,0.60259610414505,0.9281318187713623
1,0.5118142728536428,21415.0,3099.0,167001.0,6935.0,0.9494381546974182,0.8735824227333069,0.7553791999816895,0.9782568216323853,0.9424866125697181,1257.0,450.0,11568.0,746.0,0.9146994948387146,0.7363796234130859,0.6275586485862732,0.9328373074531555
2,0.4494863805232645,22447.0,2778.0,167322.0,5903.0,0.9562554359436035,0.8898711800575256,0.7917813062667847,0.9831281304359436,0.9393961193069579,1278.0,446.0,11572.0,725.0,0.9164823293685913,0.7412993311882019,0.6380429267883301,0.9351286888122559
3,0.39853903720618555,23195.0,2550.0,167550.0,5155.0,0.9611740112304688,0.900951623916626,0.8181657791137695,0.986579954624176,0.9954995399429685,1287.0,486.0,11532.0,716.0,0.9142714738845825,0.7258883118629456,0.6425362229347229,0.9321019053459167
4,0.34507154230508014,24086.0,2173.0,167927.0,4264.0,0.9675637483596802,0.9172474145889282,0.8495943546295166,0.9898194670677185,1.0452409471784319,1307.0,534.0,11484.0,696.0,0.9122746586799622,0.7099402546882629,0.6525211930274963,0.931064248085022
5,0.31255131560448407,24557.0,2045.0,168055.0,3793.0,0.9705819487571716,0.9231261014938354,0.8662081360816956,0.9914277791976929,1.1696492859295435,1205.0,581.0,11437.0,798.0,0.9016474485397339,0.6746920347213745,0.6015976071357727,0.9154242873191833
6,0.2788547328992285,25027.0,1835.0,168265.0,3323.0,0.9740086793899536,0.9316878914833069,0.8827865719795227,0.9931864142417908,1.1561794016096327,1278.0,587.0,11431.0,725.0,0.9064260125160217,0.685254693031311,0.6380429267883301,0.9253137707710266
7,0.25147556402800997,25452.0,1669.0,168431.0,2898.0,0.976986825466156,0.9384609460830688,0.897777795791626,0.9942821860313416,1.2623130423682076,1199.0,623.0,11395.0,804.0,0.8982239365577698,0.658068060874939,0.5986021161079407,0.9102997779846191
8,0.22103154156258498,25820.0,1476.0,168624.0,2530.0,0.9798130989074707,0.9459261298179626,0.910758376121521,0.9956094622612,1.2133943296614147,1268.0,561.0,11457.0,735.0,0.9075672030448914,0.6932750344276428,0.6330504417419434,0.9173805713653564
9,0.20482174915190937,26034.0,1409.0,168691.0,2316.0,0.981229305267334,0.948657214641571,0.9183068871498108,0.9961281418800354,1.25144095695208,1345.0,540.0,11478.0,658.0,0.9145567417144775,0.7135278582572937,0.6714927554130554,0.919264018535614
10,0.1860482303806083,26305.0,1283.0,168817.0,2045.0,0.9832305312156677,0.9534942507743835,0.9278659820556641,0.9966884851455688,1.1801223035842654,1396.0,476.0,11542.0,607.0,0.9227586984634399,0.745726466178894,0.6969545483589172,0.9309991002082825
11,0.17070503061095244,26503.0,1173.0,168927.0,1847.0,0.984781801700592,0.9576166868209839,0.9348500967025757,0.9971536993980408,1.2041673442674061,1367.0,499.0,11519.0,636.0,0.9190499782562256,0.7325830459594727,0.682476282119751,0.9309476613998413
12,0.15518196954298272,26691.0,1051.0,169049.0,1659.0,0.9863447546958923,0.9621152281761169,0.9414814710617065,0.9976046681404114,1.2555112219046032,1373.0,511.0,11507.0,630.0,0.9186221957206726,0.7287685871124268,0.685471773147583,0.929115355014801
13,0.14565020365321868,26821.0,1013.0,169087.0,1529.0,0.9871910810470581,0.9636056423187256,0.9460670351982117,0.9978181719779968,1.354030502220941,1378.0,527.0,11491.0,625.0,0.9178375005722046,0.7233595848083496,0.6879680752754211,0.9218008518218994
14,0.1366081301610411,26907.0,958.0,169142.0,1443.0,0.9879029393196106,0.9656199812889099,0.9491005539894104,0.9979586601257324,1.3876390996433439,1406.0,520.0,11498.0,597.0,0.9203338027000427,0.7300103902816772,0.7019470930099487,0.9220089316368103
15,0.1239810145287602,27052.0,888.0,169212.0,1298.0,0.9889858365058899,0.9682176113128662,0.9542151689529419,0.9983711838722229,1.4035979031570374,1401.0,536.0,11482.0,602.0,0.9188359379768372,0.7232834100723267,0.6994508504867554,0.9226450324058533
16,0.11128017450740307,27234.0,783.0,169317.0,1116.0,0.990431547164917,0.9720526933670044,0.9606349468231201,0.9987722635269165,1.5676214250307234,1332.0,594.0,11424.0,671.0,0.9097780585289001,0.6915887594223022,0.6650025248527527,0.9134910106658936
17,0.10431200677597964,27325.0,728.0,169372.0,1025.0,0.9911671280860901,0.9740491509437561,0.9638447761535645,0.9987064003944397,1.4476423109807666,1413.0,505.0,11513.0,590.0,0.9219029545783997,0.7367048859596252,0.7054418325424194,0.9234028458595276
18,0.10915098482233716,27240.0,795.0,169305.0,1110.0,0.9904011487960815,0.9716426134109497,0.9608465433120728,0.9986786246299744,1.4738862599645342,1387.0,533.0,11485.0,616.0,0.918051540851593,0.7223958373069763,0.6924613118171692,0.9193896651268005
19,0.09475244747162706,27401.0,695.0,169405.0,949.0,0.9917169809341431,0.9752633571624756,0.9665255546569824,0.9989851117134094,1.5081471464936695,1429.0,514.0,11504.0,574.0,0.9224019050598145,0.735460638999939,0.713429868221283,0.9220401644706726
20,0.08334638949214256,27527.0,623.0,169477.0,823.0,0.9927148818969727,0.9778685569763184,0.9709700345993042,0.9992334842681885,1.5382864773273468,1402.0,533.0,11485.0,601.0,0.919121265411377,0.724547803401947,0.699950098991394,0.9186825156211853
21,0.08492216847377058,27508.0,666.0,169434.0,842.0,0.9924011826515198,0.9763611555099487,0.9702998399734497,0.9991052150726318,1.9365707266898382,1195.0,757.0,11261.0,808.0,0.888381838798523,0.6121926307678223,0.596605122089386,0.8851317763328552
22,0.08598767926794931,27473.0,659.0,169441.0,877.0,0.9922611713409424,0.976574718952179,0.969065248966217,0.9990396499633789,1.621126068962945,1396.0,541.0,11477.0,607.0,0.9181229472160339,0.7207021117210388,0.6969545483589172,0.9178727865219116
23,0.07130056752966195,27669.0,521.0,169579.0,681.0,0.9939438104629517,0.9815182685852051,0.9759788513183594,0.9993461966514587,1.6278504119032906,1439.0,505.0,11513.0,564.0,0.9237573742866516,0.7402263283729553,0.7184223532676697,0.9203217625617981
24,0.06886135477868338,27667.0,524.0,169576.0,683.0,0.9939194321632385,0.9814125299453735,0.9759082794189453,0.9994446635246277,1.7547356349135201,1313.0,626.0,11392.0,690.0,0.9061408638954163,0.6771531701087952,0.6555167436599731,0.90465247631073
25,0.06572014659327804,27731.0,477.0,169623.0,619.0,0.9944779872894287,0.9830899238586426,0.9781658053398132,0.9993704557418823,1.7899246764561487,1396.0,544.0,11474.0,607.0,0.9179089665412903,0.7195876240730286,0.6969545483589172,0.90632164478302
26,0.06519219932430531,27707.0,510.0,169590.0,643.0,0.9941911697387695,0.9819257855415344,0.9773192405700684,0.9993781447410583,1.7838566931230682,1414.0,542.0,11476.0,589.0,0.9193352460861206,0.7229039072990417,0.7059410810470581,0.9091659784317017
27,0.058660161863927064,27792.0,426.0,169674.0,558.0,0.9950433373451233,0.9849032759666443,0.9803174734115601,0.9994745254516602,1.7944237568548747,1373.0,574.0,11444.0,630.0,0.914128839969635,0.7051874399185181,0.685471773147583,0.9071106314659119
28,0.058050515473256875,27779.0,440.0,169660.0,571.0,0.9949067234992981,0.9844076633453369,0.979858934879303,0.9995867013931274,1.8970235004311515,1382.0,584.0,11434.0,621.0,0.9140576124191284,0.7029501795768738,0.6899650692939758,0.9056387543678284
29,0.058266168572599926,27772.0,457.0,169643.0,578.0,0.9947855472564697,0.9838109612464905,0.9796119928359985,0.9995606541633606,1.7952120580843516,1436.0,517.0,11501.0,567.0,0.922687292098999,0.7352790832519531,0.7169246077537537,0.9139193296432495
30,0.05544344073631251,27825.0,422.0,169678.0,525.0,0.9952290654182434,0.9850603342056274,0.9814814925193787,0.9995371103286743,1.8221774758800628,1400.0,543.0,11475.0,603.0,0.9182655215263367,0.7205352783203125,0.6989516019821167,0.9103042483329773
